device_id,device_name,location,status,firmware_version,last_test_result,test_duration_sec,calibration_due,pipeline_status,error_code,last_test_time
M001,Pressure Sensor A,Berlin,Offline,1.0.4,Fail,70,2026-08-25,Failed,E_TEST,2026-06-28 22:33
M002,Voltage Meter B,Berlin,Online,1.0.4,Fail,93,2027-01-29,Failed,E_CONN,2026-06-26 04:32
M003,Temperature Logger C,Hamburg,Offline,1.0.4,Fail,65,2026-07-07,Failed,E_CALIB,2026-06-27 06:55
M004,Oscilloscope D,Frankfurt,Online,1.0.8,Fail,71,2026-08-30,Failed,E_CONN,2026-06-26 06:25
M005,Signal Analyzer E,Hamburg,Online,1.2.0,Pass,23,2026-10-12,Success,,2026-06-28 06:36
M006,Power Analyzer F,Hamburg,Online,1.3.0,Pass,33,2026-07-05,Success,,2026-06-28 22:20
M007,Frequency Counter G,Munich,Online,1.1.5,Pass,51,2026-07-06,Success,,2026-06-29 04:08
M008,Current Probe H,Berlin,Online,1.2.0,Fail,91,2026-07-19,Failed,E_TIMEOUT,2026-06-26 05:44
M009,Logic Analyzer I,Munich,Offline,1.1.5,Fail,89,2026-07-12,Failed,E_TIMEOUT,2026-06-28 05:28
M010,Multimeter J,Frankfurt,Offline,1.0.8,Fail,62,2027-01-20,Failed,E_TEST,2026-06-29 01:36
M011,Spectrum Analyzer K,Frankfurt,Maintenance,1.1.9,Pass,22,2026-12-14,Success,E_CALIB,2026-06-27 06:42
M012,Function Generator L,Frankfurt,Online,1.0.9,Pass,50,2026-06-05,Success,,2026-06-28 21:41
M013,Pressure Sensor M,Munich,Online,1.0.9,Fail,88,2026-06-27,Failed,E_CONN,2026-06-26 19:41
M014,Voltage Meter N,Munich,Online,1.0.4,Fail,60,2026-08-16,Failed,E_CONN,2026-06-28 05:18
M015,Temperature Logger O,Frankfurt,Online,1.0.9,Pass,35,2026-12-15,Success,,2026-06-27 20:41
M016,Oscilloscope P,Frankfurt,Online,1.2.0,Pass,25,2026-07-06,Success,,2026-06-27 22:46
M017,Signal Analyzer Q,Berlin,Online,1.0.8,Fail,59,2026-07-01,Failed,E_CONN,2026-06-26 04:26
M018,Power Analyzer R,Munich,Online,1.3.0,Pass,35,2026-08-23,Success,,2026-06-27 01:34
M019,Frequency Counter S,Frankfurt,Online,1.0.4,Pass,25,2026-07-11,Success,,2026-06-29 04:48
M020,Current Probe T,Munich,Online,1.3.0,Pass,36,2026-08-18,Success,,2026-06-29 07:19
M021,Logic Analyzer U,Berlin,Maintenance,1.0.8,Pass,27,2026-07-14,Success,E_CALIB,2026-06-26 07:50
M022,Multimeter V,Frankfurt,Maintenance,1.0.4,Fail,84,2027-01-24,Warning,E_CALIB,2026-06-26 05:48
M023,Spectrum Analyzer W,Hamburg,Maintenance,1.1.5,Pass,39,2026-05-23,Success,E_CALIB,2026-06-25 23:02
M024,Function Generator X,Munich,Maintenance,1.0.4,Fail,66,2026-08-16,Warning,E_CALIB,2026-06-28 01:53
M025,Pressure Sensor Y,Munich,Online,1.0.4,Fail,92,2026-07-09,Failed,E_FIRMWARE,2026-06-27 04:44
M026,Voltage Meter Z,Frankfurt,Online,1.0.9,Fail,75,2027-01-05,Failed,E_CONN,2026-06-29 06:26
M027,Temperature Logger A,Munich,Online,1.1.9,Pass,24,2026-06-04,Success,,2026-06-26 22:09
M028,Oscilloscope B,Berlin,Maintenance,1.1.9,Fail,63,2026-08-26,Warning,E_CALIB,2026-06-28 03:42
M029,Signal Analyzer C,Munich,Online,1.2.0,Pass,30,2026-10-02,Success,,2026-06-29 06:20
M030,Power Analyzer D,Frankfurt,Online,1.1.9,Pass,26,2027-02-04,Success,,2026-06-26 00:00
M031,Frequency Counter E,Berlin,Maintenance,1.0.8,Pass,26,2026-11-01,Success,E_CALIB,2026-06-28 01:52
M032,Current Probe F,Berlin,Online,1.1.9,Pass,49,2026-07-27,Success,,2026-06-27 21:54
M033,Logic Analyzer G,Hamburg,Maintenance,1.2.1,Pass,51,2026-09-09,Success,E_CALIB,2026-06-28 01:59
M034,Multimeter H,Munich,Offline,1.2.0,Fail,81,2027-02-16,Failed,E_TEST,2026-06-26 07:06
M035,Spectrum Analyzer I,Frankfurt,Online,1.1.5,Pass,33,2027-02-18,Success,,2026-06-28 07:18
M036,Function Generator J,Munich,Online,1.2.1,Pass,52,2027-01-10,Success,,2026-06-27 07:53
M037,Pressure Sensor K,Hamburg,Online,1.0.9,Pass,23,2026-07-18,Success,,2026-06-27 01:22
M038,Voltage Meter L,Berlin,Offline,1.2.1,Fail,67,2026-05-22,Failed,E_TIMEOUT,2026-06-28 02:33
M039,Temperature Logger M,Berlin,Online,1.2.0,Pass,25,2026-10-17,Success,,2026-06-27 01:16
M040,Oscilloscope N,Hamburg,Online,1.0.9,Pass,34,2026-07-18,Success,,2026-06-29 03:42
M041,Signal Analyzer O,Munich,Offline,1.2.1,Fail,93,2026-11-20,Failed,E_TIMEOUT,2026-06-25 19:03
M042,Power Analyzer P,Munich,Online,1.0.8,Pass,41,2027-02-24,Success,,2026-06-27 21:41
